"","datasetName","decimalLatitude","decimalLongitude","Year","Month","individualCount","vernacularName","pa"
"1","NEFSC Right Whale Aerial Survey",42.41615,-68.60262,"2014","06","1","Basking shark",1
"2","NEFSC Right Whale Aerial Survey",43.89611,-68.12017,"2005","07","1","Basking shark",1
"3","NEFSC Right Whale Aerial Survey",42.79988,-68.84927,"2012","05","1","Basking shark",1
"4","USGS Patuxent Wildlife Research Center Seabirds Database",43.1895,-69.67734,"2005","07","1","Basking Shark",1
"5","NEFSC Right Whale Aerial Survey",41.90745,-69.15909,"2006","06","1","Basking shark",1
"6","NEFSC Right Whale Aerial Survey",40.49754,-70.02025,"2002","09","2","Basking shark",1
"7","AMAPPS Northeast Aerial Cruise Summer 2011",42.054611,-67.763504,"2011","08","1","basking shark",1
"8","NEFSC Right Whale Aerial Survey",42.15891,-68.51362,"2014","06","1","Basking shark",1
"9","NEFSC Right Whale Aerial Survey",41.45195,-69.07665,"2013","06","1","Basking shark",1
"10","NEFSC Right Whale Aerial Survey",42.243,-68.78517,"2007","07","1","Basking shark",1
"11","NEFSC Right Whale Aerial Survey",41.92412,-68.91101,"2016","05","1","Basking shark",1
"12","NEFSC Right Whale Aerial Survey",43.0562,-69.32041,"2012","05","1","Basking shark",1
"13","NEFSC Right Whale Aerial Survey",42.78069,-69.01113,"2015","06","1","Basking shark",1
"14","NEFSC Right Whale Aerial Survey",41.91283,-68.84843,"2011","05","1","Basking shark",1
"15","NEFSC Right Whale Aerial Survey",41.18317,-69.15662,"2011","06","1","Basking shark",1
"16","NEFSC Right Whale Aerial Survey",41.522,-68.29333,"2006","06","1","Basking shark",1
"17","NEFSC Right Whale Aerial Survey",42.37949,-68.4818,"2014","06","1","Basking shark",1
"18","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",42.56,-69.75,"2007","08","1","basking shark",1
"19","NEFSC Right Whale Aerial Survey",42.566,-69.55517,"2002","06","1","Basking shark",1
"20","USGS Patuxent Wildlife Research Center Seabirds Database",43.2493,-69.64782,"2005","07","1","Basking Shark",1
"21","AMAPPS Northeast Aerial Cruise Summer 2011",40.426933,-70.384468,"2011","08","1","basking shark",1
"22","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",45.03,-66.05,"2007","08","1","basking shark",1
"23",NA,43.1969146729,-69.5408325195,"2005","07",NA,NA,1
"24","NEFSC Right Whale Aerial Survey",41.39368,-69.33038,"2011","06","1","Basking shark",1
"25","NEFSC Right Whale Aerial Survey",41.64839,-69.41812,"2011","05","1","Basking shark",1
"26","NEFSC Right Whale Aerial Survey",41.851,-69.08,"2006","07","1","Basking shark",1
"27","NEFSC Right Whale Aerial Survey",41.83118,-69.08277,"2009","07","1","Basking shark",1
"28","NEFSC Right Whale Aerial Survey",42.33795,-69.03501,"2014","06","1","Basking shark",1
"29","NEFSC Right Whale Aerial Survey",43.6718,-68.13231,"2014","06","1","Basking shark",1
"30","NEFSC Right Whale Aerial Survey",41.93033,-69.41905,"2003","06","1","Basking shark",1
"31","AMAPPS Northeast Shipboard Cruise Summer 2016",40.76978,-70.64397,"2016","08","1","basking shark",1
"32","NEFSC Right Whale Aerial Survey",42.23,-69.74405,"2015","05","1","Basking shark",1
"33","NEFSC Right Whale Aerial Survey",42.04568,-68.27318,"2016","06","1","Basking shark",1
"34","NEFSC Twin Otter Aerial Survey 2008",43.71,-68.663,"2008","08","1","basking shark",1
"35","NEFSC Right Whale Aerial Survey",42.03922,-67.52188,"2009","06","1","Basking shark",1
"36","NEFSC Right Whale Aerial Survey",40.45262,-72.40142,"2004","06","1","Basking shark",1
"37","NEFSC Right Whale Aerial Survey",42.90422,-70.25785,"2010","05","1","Basking shark",1
"38","NEFSC Right Whale Aerial Survey",41.82025,-69.27234,"2004","05","1","Basking shark",1
"39","NEFSC Right Whale Aerial Survey",41.76342,-69.19458,"2011","05","1","Basking shark",1
"40","NEFSC Right Whale Aerial Survey",44.06483,-67.78175,"2006","09","1","Basking shark",1
"41","NEFSC Right Whale Aerial Survey",44.36293,-67.16724,"2013","06","1","Basking shark",1
"42","NEFSC Right Whale Aerial Survey",41.53067,-68.59293,"2002","06","1","Basking shark",1
"43","NEFSC Right Whale Aerial Survey",43.986,-67.86217,"2005","09","1","Basking shark",1
"44","NEFSC Right Whale Aerial Survey",41.9287,-68.86127,"2016","05","1","Basking shark",1
"45","NEFSC Right Whale Aerial Survey",42.03075,-68.87608,"2016","05","2","Basking shark",1
"46","NEFSC Right Whale Aerial Survey",42.02935,-67.93395,"2013","11","1","Basking shark",1
"47","NEFSC Right Whale Aerial Survey",43.4404,-68.5668,"2008","11","1","Basking shark",1
"48","NEFSC Right Whale Aerial Survey",43.574,-68.62152,"2003","07","1","Basking shark",1
"49","NEFSC Right Whale Aerial Survey",44.09426,-67.41672,"2013","06","1","Basking shark",1
"50","NEFSC Right Whale Aerial Survey",42.009,-69.78616,"2005","10","1","Basking shark",1
"51","NEFSC Right Whale Aerial Survey",42.29824,-68.72525,"2016","05","1","Basking shark",1
"52","NEFSC Right Whale Aerial Survey",41.757,-69.67918,"2002","06","2","Basking shark",1
"53","NEFSC Right Whale Aerial Survey",40.05533,-71.54996,"2023","04","1","Basking shark",1
"54","NEFSC Right Whale Aerial Survey",44.15179,-67.49852,"2013","06","1","Basking shark",1
"55","NEFSC Right Whale Aerial Survey",42.4612,-69.99467,"2002","07","1","Basking shark",1
"56","NEFSC Right Whale Aerial Survey",41.82564,-68.56981,"2015","07","1","Basking shark",1
"57","NEFSC Right Whale Aerial Survey",42.34166,-68.46722,"2014","06","1","Basking shark",1
"58","NEFSC Right Whale Aerial Survey",42.45247,-67.63935,"2004","06","1","Basking shark",1
"59","NEFSC Right Whale Aerial Survey",42.04492,-70.32608,"2006","09","2","Basking shark",1
"60","NEFSC Right Whale Aerial Survey",41.28648,-69.27743,"2011","06","1","Basking shark",1
"61","NEFSC Right Whale Aerial Survey",42.13371,-68.31957,"2014","06","1","Basking shark",1
"62","NEFSC Right Whale Aerial Survey",42.34074,-70.13566,"2003","06","1","Basking shark",1
"63","NEFSC Right Whale Aerial Survey",43.20472,-68.74816,"2013","07","1","Basking shark",1
"64","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",41.93,-69.44,"2007","08","1","basking shark",1
"65","AMAPPS Northeast Aerial Cruise Summer 2010",43.64679,-69.219223,"2010","08","1","basking shark",1
"66","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.387,-72.2545,"2017","08","1","basking shark",1
"67","NEFSC Right Whale Aerial Survey",42.18469,-68.82601,"2013","05","1","Basking shark",1
"68","NEFSC Right Whale Aerial Survey",41.8032,-69.72833,"2002","07","1","Basking shark",1
"69","NEFSC Right Whale Aerial Survey",41.99308,-69.61317,"2007","06","1","Basking shark",1
"70","NEFSC Aerial Circle-Back Abundance Survey 2004",41.365,-68.86044,"2004","07","1","basking shark",1
"71","NEFSC Right Whale Aerial Survey",41.56695,-69.07041,"2009","07","1","Basking shark",1
"72","NEFSC Right Whale Aerial Survey",42.60695,-67.82013,"2012","05","1","Basking shark",1
"73","NEFSC Right Whale Aerial Survey",42.41097,-69.29533,"2014","06","1","Basking shark",1
"74","NEFSC Right Whale Aerial Survey",43.15181,-67.94441,"2015","06","1","Basking shark",1
"75","NEFSC Right Whale Aerial Survey",40.39133,-71.48315,"2023","05","1","Basking shark",1
"76","NEFSC Right Whale Aerial Survey",41.72457,-68.92958,"2002","06","1","Basking shark",1
"77","NEFSC Right Whale Aerial Survey",43.91342,-67.82871,"2002","09","1","Basking shark",1
"78","AMAPPS Northeast Aerial Cruise Fall 2012",41.366989,-67.012756,"2012","10","1","basking shark",1
"79","NEFSC Right Whale Aerial Survey",43.02505,-68.55771,"2013","07","1","Basking shark",1
"80","NEFSC Right Whale Aerial Survey",42.66783,-67.59625,"2015","06","1","Basking shark",1
"81","NEFSC Right Whale Aerial Survey",41.15672,-70.90784,"2011","05","1","Basking shark",1
"82","NEFSC Right Whale Aerial Survey",41.90465,-69.52734,"2003","06","5","Basking shark",1
"83",NA,43.248249054,-69.5838317871,"2005","07",NA,NA,1
"84","NEFSC Right Whale Aerial Survey",40.61842,-72.24967,"2006","06","1","Basking shark",1
"85","NEFSC Right Whale Aerial Survey",42.1954,-68.03308,"2016","06","1","Basking shark",1
"86","NEFSC Right Whale Aerial Survey",42.60707,-69.16255,"2009","07","1","Basking shark",1
"87","NEFSC Right Whale Aerial Survey",43.19186,-69.91701,"2013","06","2","Basking shark",1
"88","AMAPPS Northeast Aerial Cruise Spring 2017",43.910465,-67.413994,"2017","07","1","basking shark",1
"89","NEFSC Right Whale Aerial Survey",42.88565,-69.82495,"2011","06","1","Basking shark",1
"90","NEFSC Right Whale Aerial Survey",42.80312,-69.21683,"2012","07","1","Basking shark",1
"91","NEFSC Right Whale Aerial Survey",41.77371,-68.54332,"2016","05","1","Basking shark",1
"92","NEFSC Right Whale Aerial Survey",42.96976,-68.97007,"2015","06","2","Basking shark",1
"93","NEFSC Right Whale Aerial Survey",42.28227,-68.68892,"2014","06","1","Basking shark",1
"94","NEFSC Right Whale Aerial Survey",43.035,-70.137,"2008","10","1","Basking shark",1
"95","NEFSC Right Whale Aerial Survey",42.16604,-68.70557,"2014","06","1","Basking shark",1
"96","NEFSC Right Whale Aerial Survey",44.02183,-67.76568,"2013","06","1","Basking shark",1
"97",NA,43.248249054,-69.5838317871,"2005","07",NA,NA,1
"98","NEFSC Right Whale Aerial Survey",43.18944,-67.66859,"2015","06","2","Basking shark",1
"99","NYSDEC aerial surveys",40.362841,-71.40427,"2018","05","1","basking shark",1
"100","NEFSC Right Whale Aerial Survey",41.14036,-70.05682,"2004","06","1","Basking shark",1
"101","NEFSC Right Whale Aerial Survey",42.55211,-69.98883,"2011","06","1","Basking shark",1
"102","NEFSC Right Whale Aerial Survey",43.6735,-68.71733,"2005","10","1","Basking shark",1
"103","NEFSC Right Whale Aerial Survey",42.9596,-69.33563,"2006","06","1","Basking shark",1
"104","NEFSC Right Whale Aerial Survey",43.91715,-67.59897,"2002","09","1","Basking shark",1
"105","NEFSC Right Whale Aerial Survey",41.61883,-69.14283,"2007","05","1","Basking shark",1
"106","NEFSC Right Whale Aerial Survey",41.795,-69.48763,"2003","07","1","Basking shark",1
"107","NEFSC Right Whale Aerial Survey",42.28814,-68.71165,"2009","07","1","Basking shark",1
"108","NEFSC Right Whale Aerial Survey",41.4746,-67.23202,"2004","06","1","Basking shark",1
"109","NEFSC Right Whale Aerial Survey",42.18724,-68.89761,"2014","06","1","Basking shark",1
"110","NEFSC Right Whale Aerial Survey",41.79989,-68.75278,"2006","07","1","Basking shark",1
"111","NEFSC Right Whale Aerial Survey",42.57454,-69.87589,"2010","05","1","Basking shark",1
"112","NYSDEC aerial surveys",40.02841,-71.835441,"2018","06","4","basking shark",1
"113","USGS Patuxent Wildlife Research Center Seabirds Database",42.37254,-69.57172,"2009","08","1","Basking Shark",1
"114","NEFSC Right Whale Aerial Survey",41.13754,-69.13921,"2004","07","1","Basking shark",1
"115","NEFSC Right Whale Aerial Survey",41.72658,-69.62608,"2006","07","1","Basking shark",1
