"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",8.408054,8.451162,1.294664,31.799219,30.193857,0
"2",6.642415,8.452697,1.310199,32.668194,30.076541,0
"3",6.646921,8.457728,1.334337,32.346096,30.072259,0
"4",9.84325,8.479806,1.318913,33.650246,30.087677,0
"5",7.838807,8.646402,1.236938,33.315578,29.887862,0
"6",8.458785,8.690205,1.093562,33.321968,29.484508,0
"7",7.698462,8.5832,0.989333,33.339592,29.220136,0
"8",6.735221,8.467665,0.917106,33.423157,29.047439,0
"9",5.889175,8.215553,0.874092,32.193607,28.82031,0
"10",5.889175,8.215553,0.874092,32.193607,28.82031,0
"11",6.330499,8.456971,1.280386,32.359314,30.205078,0
"12",8.465019,8.432835,1.264082,33.306606,30.201408,0
"13",9.867126,8.54522,1.228869,34.027958,30.18809,0
"14",9.405492,8.74004,1.047348,33.701107,29.688772,0
"15",6.32685,8.420805,0.895508,32.659225,29.048134,0
"16",9.859341,8.582991,1.193974,34.026211,30.443973,0
"17",10.128676,8.647546,1.138475,34.039837,30.312243,0
"18",9.847308,8.754195,0.955304,33.707729,29.814577,0
"19",8.459176,8.699719,0.901658,33.339405,29.343922,0
"20",8.459176,8.699719,0.901658,33.339405,29.343922,0
"21",6.812159,8.590178,0.902172,32.650753,29.218972,0
"22",6.812159,8.590178,0.902172,32.650753,29.218972,0
"23",6.161381,8.451119,0.889526,32.230682,29.054447,0
"24",8.445585,8.565322,1.088901,31.89468,30.986709,0
"25",8.585931,8.541933,1.13692,31.754496,30.8248,0
"26",8.585931,8.541933,1.13692,31.754496,30.8248,0
"27",7.853801,8.535112,1.18726,33.303322,30.681147,0
"28",9.852138,8.77301,0.910664,33.695759,30.001523,0
"29",9.852138,8.77301,0.910664,33.695759,30.001523,0
"30",7.068184,8.741868,0.830368,33.34824,29.352235,0
"31",6.825718,8.671733,0.87601,32.650749,29.379116,0
"32",6.516642,8.549767,1.012969,32.456181,31.206425,0
"33",6.469509,8.579277,1.07078,32.705589,31.183992,0
"34",7.341158,8.550924,1.143436,33.300205,31.035215,0
"35",10.798035,8.747818,0.928157,34.516823,30.459054,0
"36",10.13315,8.798096,0.883096,34.075405,30.11801,0
"37",6.192188,8.757834,0.847225,32.253529,29.430776,0
