"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",11.599762,11.688517,0.321971,34.326454,32.168982,1
"2",10.460702,9.354767,0.545887,34.460323,31.653162,1
"3",10.370972,11.214654,0.305195,34.288467,32.02475,1
"4",10.125329,11.088265,0.49096,33.519779,31.65064,1
"5",10.543321,11.34712,0.47387,34.546177,32.344594,1
"6",10.357312,11.782639,0.365222,34.337395,32.222727,1
"7",10.361785,11.861524,0.327336,34.32542,32.166429,1
"8",10.364282,11.155305,0.376895,34.220921,31.882653,1
"9",10.349215,11.330597,0.311433,34.28841,32.019063,1
"10",10.407856,11.591033,0.334913,34.326668,32.18932,1
"11",11.035942,11.717007,0.34632,35.270161,31.920148,1
"12",10.41938,11.734684,0.3271,35.145546,31.987109,1
"13",10.354927,11.090388,0.464344,34.264545,31.71297,1
"14",10.250223,11.06799,0.456534,33.54475,31.719938,1
"15",11.648526,11.804607,0.306868,35.274223,32.113309,1
"16",10.461938,9.794201,0.460995,34.460548,31.735914,1
"17",11.522881,11.788679,0.372873,35.270664,31.878361,1
"18",10.44306,11.677851,0.409113,34.351116,32.288724,1
"19",10.219469,9.663543,0.542813,33.763046,31.649391,1
"20",9.346467,11.165898,0.500203,33.777679,32.337187,1
"21",10.287204,11.219937,0.648476,34.437607,31.597126,1
"22",10.414197,9.164022,0.610923,33.955498,31.628584,1
"23",10.436177,8.810702,0.790537,34.008102,31.382221,1
"24",10.469382,9.358042,0.55083,34.48737,31.677493,1
"25",9.976348,11.917968,0.336581,33.736809,32.156393,1
"26",10.495543,11.439223,0.460417,34.49527,32.331015,1
"27",10.371235,10.136335,0.417719,33.784134,31.77999,1
"28",10.222576,9.921273,0.477987,33.762775,31.721234,1
"29",10.713129,9.199987,0.621375,35.173409,31.592578,1
"30",10.323635,11.702325,0.436379,34.594662,31.794584,1
"31",11.616416,11.742529,0.327378,34.326477,32.171836,1
"32",10.713129,9.199987,0.621375,35.173409,31.592578,1
"33",10.339031,11.642114,0.420331,34.530262,31.806743,1
"34",10.407856,11.591033,0.334913,34.326668,32.18932,1
"35",10.59777,10.95048,0.324285,35.145798,32.129041,1
"36",6.708059,11.5512,0.649887,32.466518,31.545302,1
"37",10.442581,11.647143,0.400138,34.352791,32.262543,1
"38",7.929729,11.537721,0.490684,33.023632,31.732003,1
"39",10.411618,10.597667,0.364427,34.266968,31.870782,1
"40",10.170573,10.024749,0.633041,33.607388,31.364546,1
"41",10.361785,11.861524,0.327336,34.32542,32.166429,1
"42",11.227145,10.891821,0.297041,34.513443,32.094184,1
"43",11.047316,11.856386,0.310698,35.271431,32.060872,1
"44",10.48729,10.553205,0.282338,34.485928,31.973856,1
"45",10.921955,9.574704,0.488107,34.487381,31.71632,1
"46",11.341025,10.760559,0.311181,34.292336,31.966643,1
"47",10.590039,10.673439,0.283014,34.519974,32.033128,1
"48",10.354927,11.090388,0.464344,34.264545,31.71297,1
"49",11.499708,11.481278,0.395286,35.236767,32.255303,1
"50",10.352407,11.594312,0.306161,34.287151,32.046876,1
"51",10.236175,11.050037,0.563931,33.515911,31.460524,1
"52",10.881534,9.727039,0.454453,34.487362,31.704626,1
"53",10.973325,11.465881,0.393806,35.260185,31.82308,1
"54",10.137891,11.401342,0.321164,33.558659,31.996928,1
"55",10.173426,11.08454,0.326263,33.618061,31.954526,1
"56",11.616416,11.742529,0.327378,34.326477,32.171836,1
"57",10.281832,11.128915,0.570279,34.277073,31.571872,1
"58",10.378619,11.864875,0.344239,34.323215,32.182846,1
"59",10.414197,9.164022,0.610923,33.955498,31.628584,1
"60",10.354927,11.090388,0.464344,34.264545,31.71297,1
"61",10.975082,10.388468,0.282921,35.192551,31.941455,1
"62",10.283909,11.611958,0.402209,33.520962,31.810733,1
"63",9.972266,9.665424,0.591889,33.744793,31.616683,1
"64",10.353721,11.348038,0.359819,34.271317,31.905732,1
"65",10.938798,9.509006,0.523949,34.487133,31.701212,1
"66",11.616416,11.742529,0.327378,34.326477,32.171836,1
"67",10.354351,11.874394,0.321836,34.192856,32.152103,1
"68",11.816894,11.655711,0.387319,35.261318,31.854885,1
"69",11.393867,11.844687,0.327902,35.27354,31.986414,1
"70",10.33257,10.597394,0.585293,34.257824,31.396459,1
"71",11.308273,11.690555,0.325953,35.270149,31.985976,1
"72",10.201123,11.656671,0.447615,33.565056,31.737343,1
"73",11.192921,11.401604,0.404002,35.230698,32.261675,1
"74",10.626376,10.671123,0.465295,34.255993,32.121797,1
"75",11.617075,11.599298,0.329426,35.271374,31.998426,1
"76",10.938471,10.327646,0.287601,34.487461,31.928676,1
"77",11.32011,11.46285,0.438216,35.260574,31.771793,1
"78",10.301138,11.991585,0.327108,34.377251,32.096545,1
"79",10.301138,11.991585,0.327108,34.377251,32.096545,1
"80",10.474827,9.937721,0.424105,34.459396,31.754668,1
"81",10.238719,11.257464,0.40133,33.520569,31.829118,1
"82",10.295012,11.522835,0.377005,34.276714,31.859939,1
"83",11.74698,11.399555,0.4384,35.260551,31.729525,1
"84",10.361785,11.861524,0.327336,34.32542,32.166429,1
"85",10.471458,9.959716,0.42184,34.382141,31.759387,1
"86",11.134088,10.868245,0.413654,35.211288,32.163138,1
"87",10.384786,11.697992,0.319006,34.321915,32.15868,1
"88",10.45043,10.370695,0.337622,34.381924,31.864864,1
"89",10.364003,11.469085,0.302133,34.288742,32.078495,1
"90",10.340577,11.569383,0.421204,34.41848,31.799627,1
"91",11.622887,11.646411,0.31413,35.27137,32.031612,1
"92",10.41846,11.437514,0.306532,34.313332,32.133855,1
"93",10.31955,11.024757,0.448668,34.266018,31.735796,1
"94",11.361032,11.656415,0.369906,35.261608,31.894395,1
"95",9.766898,10.763848,0.381432,35.141487,32.065431,1
"96",10.939449,9.677269,0.465277,34.487103,31.724985,1
"97",10.465608,9.471471,0.538899,34.487206,31.685013,1
"98",10.337401,11.927532,0.316637,34.33234,32.097585,1
"99",9.419859,11.568441,0.496667,33.277489,31.711683,1
"100",10.323848,10.822153,0.55725,33.59454,31.425069,1
"101",10.288888,11.239091,0.526443,34.276733,31.640696,1
"102",10.443601,11.493026,0.342662,34.351898,32.206267,1
"103",10.433268,11.633617,0.374657,34.347206,32.237314,1
"104",9.795179,10.78724,0.377709,35.144142,32.113668,1
"105",9.978117,10.155387,0.436214,33.721653,31.750874,1
"106",10.407856,11.591033,0.334913,34.326668,32.18932,1
"107",12.109163,11.759216,0.422343,34.688889,31.831253,1
"108",10.47526,10.036614,0.38932,34.459557,31.795803,1
"109",10.885497,9.317381,0.53367,34.487331,31.658508,1
"110",10.304668,11.399658,0.300914,33.64193,32.067048,1
"111",10.992004,11.583914,0.396917,35.261326,31.84047,1
"112",10.359789,11.750529,0.383895,34.35062,32.249893,1
"113",9.788044,10.286625,0.383091,35.132481,31.801616,1
"114",10.379199,11.732721,0.388962,34.337494,32.239956,1
"115",10.354351,11.874394,0.321836,34.192856,32.152103,1
"116",10.766691,9.942435,0.413298,35.182362,31.796715,1
"117",9.931999,11.45871,0.32599,33.53968,31.986355,1
"118",10.226577,10.827155,0.649747,33.515808,31.354747,1
"119",6.794532,11.490593,0.516862,32.798126,31.672272,1
"120",11.008069,11.816541,0.312823,35.149025,32.031477,1
"121",11.008069,11.816541,0.312823,35.149025,32.031477,1
"122",10.533333,10.320872,0.278711,34.487373,31.914551,1
"123",9.804445,10.398374,0.402111,35.132442,31.899555,1
"124",10.282948,11.573361,0.442737,34.547276,31.779441,1
"125",10.34326,11.056938,0.359694,34.277519,31.895126,1
"126",10.336049,11.842178,0.360019,34.366043,32.209829,1
"127",10.357312,11.782639,0.365222,34.337395,32.222727,1
"128",11.32011,11.46285,0.438216,35.260574,31.771793,1
"129",10.344251,11.261577,0.436798,34.237354,31.742009,1
"130",7.560374,10.877953,0.471109,33.131496,32.266133,1
"131",10.939298,9.472165,0.543939,35.183025,31.67857,1
"132",10.993635,11.633295,0.351322,35.140316,31.935765,1
"133",10.263799,10.545106,0.55763,33.569035,31.422717,1
"134",10.542686,10.793571,0.301134,35.209915,32.07223,1
"135",10.298802,11.507999,0.336852,34.2873,31.95459,1
"136",9.971789,9.909404,0.599983,33.367107,31.561182,1
"137",10.318961,11.948744,0.333473,33.742981,32.153076,1
"138",11.263899,11.702152,0.316479,35.271385,32.005149,1
"139",7.686729,11.418161,0.538946,32.998665,31.674424,1
"140",10.346615,11.583734,0.320629,34.28714,32.005423,1
"141",10.972494,9.976706,0.40728,35.192543,31.788488,1
"142",10.407804,11.631407,0.347843,34.325062,32.206343,1
"143",9.4551,11.46281,0.518663,33.241867,31.698993,1
"144",10.44936,10.15035,0.402178,34.356647,31.786844,1
"145",10.856201,10.79231,0.419061,35.207214,32.113695,1
"146",10.306924,11.944896,0.326653,33.71796,32.123981,1
"147",10.547641,10.725084,0.280304,34.513504,32.054855,1
"148",10.698692,11.076453,0.381846,35.216785,32.185455,1
"149",10.459087,10.197463,0.370366,34.434647,31.819292,1
"150",11.536071,11.00634,0.379417,34.26664,31.848579,1
"151",10.921955,9.574704,0.488107,34.487381,31.71632,1
"152",10.308052,11.45218,0.358099,34.276745,31.911852,1
"153",10.472533,9.849918,0.443915,34.409546,31.744626,1
"154",10.250223,11.06799,0.456534,33.54475,31.719938,1
"155",9.957143,10.177759,0.715697,33.59446,31.004944,1
"156",10.47526,10.036614,0.38932,34.459557,31.795803,1
"157",10.34326,11.056938,0.359694,34.277519,31.895126,1
"158",10.283909,11.611958,0.402209,33.520962,31.810733,1
"159",11.619779,11.583284,0.302728,35.271999,32.097366,1
"160",10.318886,11.531507,0.317728,33.548473,32.016948,1
"161",10.903255,9.662684,0.462856,34.48735,31.72827,1
"162",10.125329,11.088265,0.49096,33.519779,31.65064,1
"163",10.409425,9.03759,0.67395,33.962532,31.559181,1
"164",10.938471,10.327646,0.287601,34.487461,31.928676,1
"165",12.061078,11.805415,0.387674,34.660236,31.881247,1
"166",10.414197,9.164022,0.610923,33.955498,31.628584,1
"167",10.379064,11.715687,0.39468,34.350647,32.258654,1
"168",10.094804,11.53968,0.430239,33.522579,31.77904,1
"169",10.424725,10.766698,0.348793,34.266037,31.886609,1
"170",11.675825,11.781812,0.310298,34.326366,32.134381,1
"171",10.331482,11.942415,0.330996,34.499477,32.055409,1
"172",10.469382,9.358042,0.55083,34.48737,31.677493,1
"173",6.661493,11.480334,0.678344,32.454628,31.550814,1
"174",11.362088,11.884283,0.315761,35.276108,32.060366,1
"175",10.427667,11.016463,0.313792,34.277218,31.971544,1
"176",11.359134,11.696518,0.38045,35.261387,31.846881,1
"177",10.401183,11.614151,0.312135,34.325821,32.146301,1
"178",11.551905,11.49084,0.332901,34.326878,32.186858,1
"179",10.295012,11.522835,0.377005,34.276714,31.859939,1
"180",10.659167,11.03663,0.41402,35.212139,32.216318,1
"181",6.593606,11.484424,0.669159,32.816685,31.562277,1
"182",6.634014,11.471214,0.714578,32.451103,31.532174,1
"183",11.622887,11.646411,0.31413,35.27137,32.031612,1
"184",10.809301,10.312362,0.329631,35.197086,31.884582,1
"185",10.102044,11.348035,0.493466,33.519882,31.685834,1
"186",10.909586,9.13488,0.64002,35.177979,31.558454,1
"187",11.981245,11.883245,0.363937,34.56353,31.972905,1
"188",10.443601,11.493026,0.342662,34.351898,32.206267,1
"189",10.282153,11.650998,0.444132,34.688332,31.750226,1
"190",10.170166,10.124085,0.572537,33.611004,31.567484,1
"191",11.276839,11.564684,0.432389,35.253395,32.299658,1
"192",11.679288,11.796432,0.319415,34.326355,32.143587,1
"193",10.354351,11.874394,0.321836,34.192856,32.152103,1
"194",10.402832,10.641195,0.368529,34.26683,31.865436,1
"195",8.109431,10.545675,0.376304,34.997467,31.914834,1
"196",10.993635,11.633295,0.351322,35.140316,31.935765,1
"197",11.633579,11.630025,0.302441,34.288486,32.08951,1
"198",10.476469,10.208457,0.35993,34.460262,31.847992,1
"199",10.784277,10.436721,0.286806,35.192516,31.950292,1
"200",11.443839,11.424853,0.308245,34.32674,32.151728,1
"201",10.883269,9.173162,0.633076,34.487343,31.591275,1
"202",10.202051,11.631472,0.496513,33.551239,31.706641,1
"203",10.282823,11.667834,0.439267,33.551311,31.772054,1
"204",10.938471,10.327646,0.287601,34.487461,31.928676,1
"205",10.313985,10.779403,0.611639,34.257694,31.347352,1
"206",10.401183,11.614151,0.312135,34.325821,32.146301,1
"207",10.137891,11.401342,0.321164,33.558659,31.996928,1
"208",11.025415,11.656698,0.380504,35.26133,31.843789,1
"209",11.614616,11.856894,0.314064,34.326477,32.11855,1
"210",10.309498,10.31566,0.487863,33.629719,31.691976,1
"211",11.745673,9.290841,0.294105,34.963654,30.742161,1
"212",11.551905,11.49084,0.332901,34.326878,32.186858,1
"213",11.614616,11.856894,0.314064,34.326477,32.11855,1
"214",10.47526,10.036614,0.38932,34.459557,31.795803,1
"215",8.87994,10.802532,0.318481,35.141159,32.060461,1
"216",11.007277,11.594241,0.368499,35.260159,31.875896,1
"217",11.263899,11.702152,0.316479,35.271385,32.005149,1
"218",10.503663,10.933106,0.292121,34.513435,32.099024,1
"219",10.472533,9.849918,0.443915,34.409546,31.744626,1
"220",11.691461,11.827971,0.315299,34.326118,32.129908,1
"221",11.385592,11.852288,0.345931,35.277481,31.963353,1
"222",10.447413,11.458513,0.349007,34.409161,32.207761,1
"223",11.66943,11.226907,0.486874,34.277435,31.651333,1
"224",10.325771,11.304339,0.35233,34.27636,31.912038,1
"225",11.385592,11.852288,0.345931,35.277481,31.963353,1
"226",10.306924,11.944896,0.326653,33.71796,32.123981,1
"227",8.945288,9.013294,0.662421,33.244049,31.548206,1
"228",11.566146,11.558518,0.322783,34.326683,32.166197,1
"229",10.339031,11.642114,0.420331,34.530262,31.806743,1
"230",10.233203,11.407398,0.382945,33.515907,31.842862,1
"231",10.407804,11.631407,0.347843,34.325062,32.206343,1
"232",10.769661,10.29488,0.314888,35.189732,31.886932,1
"233",11.884126,11.925328,0.337538,34.509315,32.051556,1
"234",11.262007,11.363381,0.426526,35.257526,31.748296,1
"235",10.476469,10.208457,0.35993,34.460262,31.847992,1
"236",10.340662,11.025717,0.63469,34.255329,31.491599,1
"237",12.063202,11.828176,0.371613,35.280098,31.943247,1
"238",10.354058,10.150129,0.425512,33.748066,31.779432,1
"239",11.614616,11.856894,0.314064,34.326477,32.11855,1
"240",10.375063,11.817532,0.334103,34.324993,32.180011,1
"241",10.564696,10.843906,0.295346,34.513634,32.087305,1
"242",6.661493,11.480334,0.678344,32.454628,31.550814,1
"243",10.223611,11.275324,0.407147,33.515903,31.78308,1
"244",10.472533,9.849918,0.443915,34.409546,31.744626,1
"245",10.550439,11.272798,0.452329,34.560932,32.294386,1
"246",10.207307,10.280395,0.422486,33.706894,31.796119,1
"247",10.442581,11.647143,0.400138,34.352791,32.262543,1
"248",10.289805,11.475889,0.439525,34.435059,31.757775,1
"249",9.503589,11.181849,0.777394,33.257999,31.540584,1
"250",10.798166,8.716414,0.974017,34.496124,30.507864,1
"251",10.379199,11.732721,0.388962,34.337494,32.239956,1
"252",10.344513,11.812608,0.371924,34.34008,32.239689,1
"253",10.464467,11.563862,0.38568,34.39278,32.248194,1
"254",10.407804,11.631407,0.347843,34.325062,32.206343,1
"255",11.006047,11.507192,0.387614,35.261681,31.857426,1
"256",10.938471,10.327646,0.287601,34.487461,31.928676,1
"257",10.305016,10.891651,0.497167,34.26651,31.594784,1
"258",10.308052,11.45218,0.358099,34.276745,31.911852,1
"259",10.929273,11.490587,0.434807,35.250446,32.289278,1
"260",9.503589,11.181849,0.777394,33.257999,31.540584,1
"261",10.28093,10.245079,0.627383,33.594555,31.348831,1
"262",11.91644,11.862671,0.361643,35.277302,31.953999,1
"263",11.564605,11.661252,0.310773,34.32653,32.136492,1
"264",9.766898,10.763848,0.381432,35.141487,32.065431,1
"265",10.993072,11.472948,0.422085,35.261353,31.766545,1
"266",11.624835,11.720422,0.313543,34.32618,32.154286,1
"267",10.331482,11.942415,0.330996,34.499477,32.055409,1
"268",12.109163,11.759216,0.422343,34.688889,31.831253,1
"269",10.938798,9.509006,0.523949,34.487133,31.701212,1
"270",6.676303,11.52454,0.625798,32.454659,31.569877,1
"271",10.48729,10.553205,0.282338,34.485928,31.973856,1
"272",10.508928,10.766181,0.279075,34.499985,32.051728,1
"273",10.465616,9.331399,0.576619,33.945381,31.640975,1
"274",11.649785,11.750394,0.305791,35.27422,32.098299,1
"275",10.473333,9.974177,0.427847,34.408928,31.784053,1
"276",10.288618,11.142115,0.500101,34.266308,31.591213,1
"277",10.323848,10.822153,0.55725,33.59454,31.425069,1
"278",11.66943,11.226907,0.486874,34.277435,31.651333,1
"279",11.679288,11.796432,0.319415,34.326355,32.143587,1
"280",11.27172,11.496993,0.395196,35.261364,31.80549,1
"281",10.938471,10.327646,0.287601,34.487461,31.928676,1
"282",10.250223,11.06799,0.456534,33.54475,31.719938,1
"283",10.063851,11.595716,0.473994,33.543606,31.717986,1
"284",10.831729,9.293744,0.321444,35.215302,30.605823,1
"285",11.133894,11.387163,0.421537,35.26017,31.778744,1
"286",10.866266,10.710723,0.443944,35.200302,32.0967,1
"287",10.446448,10.371609,0.346867,34.331234,31.86759,1
"288",6.708059,11.5512,0.649887,32.466518,31.545302,1
"289",10.331523,11.925954,0.319775,34.37289,32.07705,1
"290",10.346615,11.583734,0.320629,34.28714,32.005423,1
"291",11.560739,11.697226,0.308311,34.315022,32.130184,1
"292",11.66703,11.781754,0.307844,35.275963,32.067112,1
"293",11.816894,11.655711,0.387319,35.261318,31.854885,1
"294",10.282153,11.650998,0.444132,34.688332,31.750226,1
"295",10.537759,10.396089,0.274893,34.499901,31.953831,1
"296",11.499708,11.481278,0.395286,35.236767,32.255303,1
"297",10.322124,11.597124,0.436174,34.229618,31.776128,1
"298",11.614616,11.856894,0.314064,34.326477,32.11855,1
"299",10.333587,11.474474,0.308487,33.590736,32.038588,1
"300",10.324968,11.967607,0.341784,34.491901,32.017601,1
"301",10.337401,11.927532,0.316637,34.33234,32.097585,1
"302",10.396294,11.728362,0.336326,34.298767,32.181601,1
"303",11.616416,11.742529,0.327378,34.326477,32.171836,1
"304",10.401681,9.257948,0.596612,33.894962,31.639884,1
"305",10.452449,11.43721,0.335601,34.352829,32.184746,1
"306",10.295012,11.522835,0.377005,34.276714,31.859939,1
"307",10.381981,11.858744,0.355914,34.324097,32.199759,1
"308",10.392778,10.957494,0.373368,34.264977,31.854391,1
"309",10.836177,10.387051,0.309467,35.20023,31.916062,1
"310",6.680334,11.538562,0.609687,32.454681,31.585022,1
"311",10.445149,10.80268,0.326972,34.268559,31.951864,1
"312",10.331488,11.950371,0.335336,34.500561,32.071131,1
"313",10.352407,11.594312,0.306161,34.287151,32.046876,1
"314",10.508769,9.609224,0.41451,34.492012,31.719308,1
"315",10.390408,11.157351,0.333008,34.275192,31.94762,1
"316",10.351794,11.175905,0.381574,34.215736,31.84927,1
"317",9.597761,10.236806,0.335763,35.128418,31.87744,1
"318",10.102893,11.329198,0.60655,33.520374,31.633464,1
"319",10.288767,11.21654,0.597182,34.34103,31.588198,1
"320",10.137891,11.401342,0.321164,33.558659,31.996928,1
"321",10.542078,10.273024,0.283581,34.487442,31.90429,1
"322",10.358298,11.886217,0.338563,34.324467,32.176963,1
"323",9.795179,10.78724,0.377709,35.144142,32.113668,1
"324",10.325771,11.304339,0.35233,34.27636,31.912038,1
"325",10.798166,8.716414,0.974017,34.496124,30.507864,1
"326",10.145708,10.625263,0.612032,33.542046,31.372137,1
"327",10.344513,11.812608,0.371924,34.34008,32.239689,1
"328",11.603423,11.56689,0.302845,34.301876,32.104749,1
"329",11.624835,11.720422,0.313543,34.32618,32.154286,1
"330",11.619779,11.583284,0.302728,35.271999,32.097366,1
"331",10.358298,11.886217,0.338563,34.324467,32.176963,1
"332",10.396294,11.728362,0.336326,34.298767,32.181601,1
"333",10.443575,11.56213,0.367405,34.338001,32.227007,1
"334",12.109163,11.759216,0.422343,34.688889,31.831253,1
"335",10.337401,11.927532,0.316637,34.33234,32.097585,1
"336",10.325785,11.337562,0.33967,33.556984,31.957483,1
"337",11.68107,11.34638,0.445537,35.256496,31.683365,1
"338",11.014113,10.639149,0.279511,34.513432,32.042233,1
"339",9.978117,10.155387,0.436214,33.721653,31.750874,1
"340",11.66703,11.781754,0.307844,35.275963,32.067112,1
"341",10.447413,11.458513,0.349007,34.409161,32.207761,1
"342",10.503181,9.091793,0.620033,34.490681,31.522292,1
"343",10.784277,10.436721,0.286806,35.192516,31.950292,1
"344",11.679288,11.796432,0.319415,34.326355,32.143587,1
