"","datasetName","Year","Month","individualCount","vernacularName","geometry"
"1",NA,"2013","06",NA,"squid long finned",c(-67.6800255474504, 44.3077252715528)
"2","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2013","07",NA,NA,c(-65.6125, 42.5888)
"3",NA,"2002","10","16",NA,c(-70.78267, 42.32733)
"4",NA,"2017","05",NA,"squid long finned",c(-67.76428486506, 44.4528403456443)
"5","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"6",NA,"2002","06",NA,"squid long finned",c(-67.7900404955836, 44.2397252534495)
"7",NA,"2017","10",NA,"squid long finned",c(-70.4609353761315, 42.9867152933522)
"8","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"9",NA,"2008","10",NA,"squid long finned",c(-69.6961699781458, 43.7525000026941)
"10",NA,"2013","06",NA,"squid long finned",c(-67.9220602644405, 44.242780096033)
"11",NA,"2013","06",NA,"squid long finned",c(-67.5040906415103, 44.2773352225252)
"12","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.988833, 42.204333)
"13","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-65.4257, 42.362)
"14",NA,"2006","10",NA,"squid long finned",c(-68.7550951376597, 43.911075011064)
"15","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.081667, 42.212333)
"16",NA,"2013","05",NA,"squid long finned",c(-70.2462004905894, 43.509285218902)
"17","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.528, 43.665667)
"18","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2018","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.986333, 42.776167)
"19","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"20",NA,"2016","06",NA,"squid long finned",c(-67.3682852945196, 44.4641101875607)
