"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",9.037187,8.816785,0.794582,33.281898,31.449808,1
"2",8.975822,9.455448,0.379411,34.17289,31.26409,1
"3",8.063634,11.311302,0.950225,32.168118,31.490662,1
"4",6.8219,8.662882,0.872278,32.558914,31.363762,1
"5",11.193931,10.476288,0.459501,35.0881,31.959198,1
"6",10.472772,8.919743,0.706432,34.48708,31.484834,1
"7",8.614722,11.080907,0.762451,32.973709,31.492859,1
"8",12.444731,10.222198,0.456456,34.400505,31.669715,1
"9",6.436488,10.073209,0.926511,32.505924,30.291991,1
"10",7.625632,8.856393,0.771858,32.765976,31.451831,1
"11",10.415904,8.853251,0.77492,33.984066,31.484999,1
"12",11.053982,10.345578,0.469304,35.189056,31.797833,1
"13",12.46636,10.091434,0.442985,34.353092,31.541199,1
"14",8.945411,9.373028,0.71534,33.123592,31.526134,1
"15",11.005544,10.352042,0.462439,35.190369,31.815562,1
"16",6.381823,10.503526,0.858134,32.434597,30.835655,1
"17",10.567368,9.187,0.342469,34.808861,30.626452,1
"18",10.686203,9.979888,0.297769,34.518944,31.717586,1
"19",11.193931,10.476288,0.459501,35.0881,31.959198,1
"20",8.809751,8.716851,0.905333,33.625229,31.337734,1
"21",11.84394,10.083345,0.290361,34.875904,31.120971,1
"22",6.285064,8.400522,0.892394,32.654453,29.013779,1
"23",8.975822,9.455448,0.379411,34.17289,31.26409,1
"24",10.167834,11.935011,0.328406,33.698353,32.130895,1
"25",7.710611,8.80069,0.777256,33.338055,30.081584,1
"26",8.975822,9.455448,0.379411,34.17289,31.26409,1
"27",9.898444,8.730738,1.077045,33.678875,29.73939,1
"28",10.313406,11.895729,0.319707,34.326263,32.134671,1
"29",9.97598,9.459347,0.588731,33.763016,31.594903,1
"30",6.449544,10.168868,0.896587,32.693756,30.294492,1
"31",9.622287,8.873107,0.764448,33.595726,31.472557,1
"32",12.546998,9.68272,0.361526,34.223598,31.174756,1
"33",10.167834,11.935011,0.328406,33.698353,32.130895,1
"34",7.089284,8.995522,0.859876,32.304981,31.327833,1
"35",7.625216,10.33548,1.119882,32.201988,30.250098,1
"36",12.444731,10.222198,0.456456,34.400505,31.669715,1
"37",11.275507,9.766039,0.287475,34.113045,30.967601,1
"38",9.803338,10.462345,0.400643,35.135021,31.8987,1
"39",6.449544,10.168868,0.896587,32.693756,30.294492,1
"40",6.582738,8.710263,0.915725,32.592659,31.263784,1
"41",12.430262,10.12494,0.311828,34.944016,31.130901,1
"42",6.899343,11.040784,0.799547,32.40715,31.487271,1
"43",11.286639,9.011348,0.309908,34.775673,31.013423,1
"44",6.823534,8.685173,0.881269,32.546989,31.359518,1
"45",9.89343,11.025089,0.720526,33.255714,31.497021,1
"46",9.588188,9.466521,0.609111,33.435314,31.590641,1
"47",10.358298,11.886217,0.338563,34.324467,32.176963,1
"48",11.275507,9.766039,0.287475,34.113045,30.967601,1
"49",6.389449,8.488971,0.912438,32.648708,29.073653,1
