"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",6.340691,8.645049,0.875503,32.649109,29.231137,1
"2",NA,NA,NA,NA,NA,1
"3",7.643984,8.581234,0.883652,31.374762,29.213022,1
"4",NA,NA,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,1
"6",NA,NA,NA,NA,NA,1
"7",NA,NA,NA,NA,NA,1
"8",NA,NA,NA,NA,NA,1
"9",NA,NA,NA,NA,NA,1
"10",NA,NA,NA,NA,NA,1
"11",NA,NA,NA,NA,NA,1
"12",NA,NA,NA,NA,NA,1
"13",NA,NA,NA,NA,NA,1
"14",NA,NA,NA,NA,NA,1
"15",NA,NA,NA,NA,NA,1
"16",NA,NA,NA,NA,NA,1
"17",NA,NA,NA,NA,NA,1
"18",NA,NA,NA,NA,NA,1
"19",NA,NA,NA,NA,NA,1
"20",NA,NA,NA,NA,NA,1
"21",NA,NA,NA,NA,NA,1
"22",6.340691,8.645049,0.875503,32.649109,29.231137,1
"23",NA,NA,NA,NA,NA,1
"24",NA,NA,NA,NA,NA,1
"25",NA,NA,NA,NA,NA,1
"26",NA,NA,NA,NA,NA,1
"27",NA,NA,NA,NA,NA,1
"28",NA,NA,NA,NA,NA,1
"29",NA,NA,NA,NA,NA,1
"30",NA,NA,NA,NA,NA,1
"31",NA,NA,NA,NA,NA,1
"32",NA,NA,NA,NA,NA,1
"33",NA,NA,NA,NA,NA,1
"34",NA,NA,NA,NA,NA,1
"35",NA,NA,NA,NA,NA,1
"36",NA,NA,NA,NA,NA,1
"37",NA,NA,NA,NA,NA,1
"38",NA,NA,NA,NA,NA,1
"39",NA,NA,NA,NA,NA,1
"40",NA,NA,NA,NA,NA,1
"41",NA,NA,NA,NA,NA,1
"42",NA,NA,NA,NA,NA,1
"43",7.643984,8.581234,0.883652,31.374762,29.213022,1
"44",NA,NA,NA,NA,NA,1
"45",NA,NA,NA,NA,NA,1
"46",NA,NA,NA,NA,NA,1
"47",NA,NA,NA,NA,NA,1
"48",NA,NA,NA,NA,NA,1
"49",NA,NA,NA,NA,NA,1
"50",NA,NA,NA,NA,NA,1
"51",NA,NA,NA,NA,NA,1
"52",NA,NA,NA,NA,NA,1
"53",NA,NA,NA,NA,NA,1
"54",NA,NA,NA,NA,NA,1
"55",NA,NA,NA,NA,NA,1
"56",NA,NA,NA,NA,NA,1
"57",7.629025,11.265289,0.982404,32.16518,31.45973,1
"58",NA,NA,NA,NA,NA,1
"59",NA,NA,NA,NA,NA,1
"60",NA,NA,NA,NA,NA,1
"61",NA,NA,NA,NA,NA,1
"62",NA,NA,NA,NA,NA,1
"63",NA,NA,NA,NA,NA,1
"64",NA,NA,NA,NA,NA,1
"65",NA,NA,NA,NA,NA,1
"66",NA,NA,NA,NA,NA,1
"67",NA,NA,NA,NA,NA,1
"68",NA,NA,NA,NA,NA,1
"69",NA,NA,NA,NA,NA,1
"70",NA,NA,NA,NA,NA,1
"71",NA,NA,NA,NA,NA,1
"72",6.340691,8.645049,0.875503,32.649109,29.231137,1
"73",NA,NA,NA,NA,NA,1
"74",NA,NA,NA,NA,NA,1
"75",NA,NA,NA,NA,NA,1
"76",NA,NA,NA,NA,NA,1
"77",NA,NA,NA,NA,NA,1
"78",NA,NA,NA,NA,NA,1
"79",NA,NA,NA,NA,NA,1
"80",6.340691,8.645049,0.875503,32.649109,29.231137,1
"81",NA,NA,NA,NA,NA,1
"82",NA,NA,NA,NA,NA,1
"83",6.340691,8.645049,0.875503,32.649109,29.231137,1
"84",NA,NA,NA,NA,NA,1
"85",NA,NA,NA,NA,NA,1
"86",NA,NA,NA,NA,NA,1
"87",NA,NA,NA,NA,NA,1
"88",NA,NA,NA,NA,NA,1
"89",NA,NA,NA,NA,NA,1
"90",NA,NA,NA,NA,NA,1
"91",NA,NA,NA,NA,NA,1
"92",NA,NA,NA,NA,NA,1
"93",6.340691,8.645049,0.875503,32.649109,29.231137,1
"94",6.340691,8.645049,0.875503,32.649109,29.231137,1
"95",NA,NA,NA,NA,NA,1
"96",NA,NA,NA,NA,NA,1
"97",NA,NA,NA,NA,NA,1
"98",NA,NA,NA,NA,NA,1
"99",NA,NA,NA,NA,NA,1
"100",NA,NA,NA,NA,NA,1
"101",NA,NA,NA,NA,NA,1
"102",NA,NA,NA,NA,NA,1
"103",NA,NA,NA,NA,NA,1
"104",NA,NA,NA,NA,NA,1
"105",NA,NA,NA,NA,NA,1
"106",NA,NA,NA,NA,NA,1
"107",NA,NA,NA,NA,NA,1
"108",NA,NA,NA,NA,NA,1
"109",NA,NA,NA,NA,NA,1
"110",NA,NA,NA,NA,NA,1
"111",NA,NA,NA,NA,NA,1
"112",6.340691,8.645049,0.875503,32.649109,29.231137,1
"113",NA,NA,NA,NA,NA,1
"114",NA,NA,NA,NA,NA,1
"115",NA,NA,NA,NA,NA,1
"116",NA,NA,NA,NA,NA,1
"117",NA,NA,NA,NA,NA,1
"118",NA,NA,NA,NA,NA,1
"119",NA,NA,NA,NA,NA,1
"120",NA,NA,NA,NA,NA,1
"121",NA,NA,NA,NA,NA,1
"122",NA,NA,NA,NA,NA,1
"123",NA,NA,NA,NA,NA,1
"124",NA,NA,NA,NA,NA,1
"125",NA,NA,NA,NA,NA,1
"126",NA,NA,NA,NA,NA,1
"127",NA,NA,NA,NA,NA,1
"128",NA,NA,NA,NA,NA,1
"129",NA,NA,NA,NA,NA,1
"130",NA,NA,NA,NA,NA,1
"131",NA,NA,NA,NA,NA,1
"132",NA,NA,NA,NA,NA,1
"133",NA,NA,NA,NA,NA,1
"134",6.340691,8.645049,0.875503,32.649109,29.231137,1
"135",NA,NA,NA,NA,NA,1
"136",NA,NA,NA,NA,NA,1
"137",NA,NA,NA,NA,NA,1
"138",NA,NA,NA,NA,NA,1
"139",NA,NA,NA,NA,NA,1
"140",NA,NA,NA,NA,NA,1
"141",NA,NA,NA,NA,NA,1
"142",NA,NA,NA,NA,NA,1
"143",NA,NA,NA,NA,NA,1
"144",NA,NA,NA,NA,NA,1
"145",NA,NA,NA,NA,NA,1
"146",NA,NA,NA,NA,NA,1
"147",NA,NA,NA,NA,NA,1
"148",NA,NA,NA,NA,NA,1
"149",NA,NA,NA,NA,NA,1
"150",NA,NA,NA,NA,NA,1
"151",7.629025,11.265289,0.982404,32.16518,31.45973,1
"152",NA,NA,NA,NA,NA,1
"153",NA,NA,NA,NA,NA,1
"154",NA,NA,NA,NA,NA,1
"155",NA,NA,NA,NA,NA,1
"156",NA,NA,NA,NA,NA,1
"157",NA,NA,NA,NA,NA,1
"158",NA,NA,NA,NA,NA,1
"159",NA,NA,NA,NA,NA,1
"160",NA,NA,NA,NA,NA,1
"161",NA,NA,NA,NA,NA,1
"162",6.340691,8.645049,0.875503,32.649109,29.231137,1
"163",NA,NA,NA,NA,NA,1
"164",6.340691,8.645049,0.875503,32.649109,29.231137,1
"165",NA,NA,NA,NA,NA,1
"166",NA,NA,NA,NA,NA,1
"167",NA,NA,NA,NA,NA,1
"168",NA,NA,NA,NA,NA,1
"169",10.715819,11.193261,1.005048,32.043068,31.458573,1
"170",NA,NA,NA,NA,NA,1
"171",NA,NA,NA,NA,NA,1
"172",NA,NA,NA,NA,NA,1
"173",NA,NA,NA,NA,NA,1
"174",NA,NA,NA,NA,NA,1
"175",NA,NA,NA,NA,NA,1
"176",NA,NA,NA,NA,NA,1
"177",7.643984,8.581234,0.883652,31.374762,29.213022,1
"178",NA,NA,NA,NA,NA,1
"179",NA,NA,NA,NA,NA,1
"180",NA,NA,NA,NA,NA,1
"181",NA,NA,NA,NA,NA,1
"182",NA,NA,NA,NA,NA,1
"183",NA,NA,NA,NA,NA,1
"184",NA,NA,NA,NA,NA,1
"185",NA,NA,NA,NA,NA,1
"186",NA,NA,NA,NA,NA,1
"187",NA,NA,NA,NA,NA,1
"188",NA,NA,NA,NA,NA,1
"189",NA,NA,NA,NA,NA,1
"190",NA,NA,NA,NA,NA,1
"191",NA,NA,NA,NA,NA,1
"192",NA,NA,NA,NA,NA,1
"193",NA,NA,NA,NA,NA,1
"194",NA,NA,NA,NA,NA,1
"195",NA,NA,NA,NA,NA,1
"196",NA,NA,NA,NA,NA,1
"197",NA,NA,NA,NA,NA,1
"198",NA,NA,NA,NA,NA,1
"199",NA,NA,NA,NA,NA,1
"200",NA,NA,NA,NA,NA,1
"201",NA,NA,NA,NA,NA,1
"202",NA,NA,NA,NA,NA,1
"203",NA,NA,NA,NA,NA,1
"204",NA,NA,NA,NA,NA,1
"205",NA,NA,NA,NA,NA,1
"206",NA,NA,NA,NA,NA,1
"207",NA,NA,NA,NA,NA,1
"208",NA,NA,NA,NA,NA,1
"209",NA,NA,NA,NA,NA,1
"210",NA,NA,NA,NA,NA,1
"211",NA,NA,NA,NA,NA,1
"212",NA,NA,NA,NA,NA,1
"213",6.340691,8.645049,0.875503,32.649109,29.231137,1
"214",NA,NA,NA,NA,NA,1
"215",NA,NA,NA,NA,NA,1
"216",NA,NA,NA,NA,NA,1
"217",NA,NA,NA,NA,NA,1
"218",NA,NA,NA,NA,NA,1
"219",NA,NA,NA,NA,NA,1
"220",NA,NA,NA,NA,NA,1
"221",NA,NA,NA,NA,NA,1
"222",NA,NA,NA,NA,NA,1
"223",NA,NA,NA,NA,NA,1
"224",NA,NA,NA,NA,NA,1
"225",NA,NA,NA,NA,NA,1
"226",NA,NA,NA,NA,NA,1
"227",NA,NA,NA,NA,NA,1
"228",NA,NA,NA,NA,NA,1
"229",NA,NA,NA,NA,NA,1
"230",6.340691,8.645049,0.875503,32.649109,29.231137,1
"231",NA,NA,NA,NA,NA,1
"232",NA,NA,NA,NA,NA,1
"233",6.340691,8.645049,0.875503,32.649109,29.231137,1
"234",NA,NA,NA,NA,NA,1
