"","X","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",1,6.340691,8.645049,0.875503,32.649109,29.231137,1
"2",2,NA,NA,NA,NA,NA,1
"3",3,7.643984,8.581234,0.883652,31.374762,29.213022,1
"4",4,NA,NA,NA,NA,NA,1
"5",5,NA,NA,NA,NA,NA,1
"6",6,NA,NA,NA,NA,NA,1
"7",7,NA,NA,NA,NA,NA,1
"8",8,NA,NA,NA,NA,NA,1
"9",9,NA,NA,NA,NA,NA,1
"10",10,NA,NA,NA,NA,NA,1
"11",11,NA,NA,NA,NA,NA,1
"12",12,NA,NA,NA,NA,NA,1
"13",13,NA,NA,NA,NA,NA,1
"14",14,NA,NA,NA,NA,NA,1
"15",15,NA,NA,NA,NA,NA,1
"16",16,NA,NA,NA,NA,NA,1
"17",17,NA,NA,NA,NA,NA,1
"18",18,NA,NA,NA,NA,NA,1
"19",19,NA,NA,NA,NA,NA,1
"20",20,NA,NA,NA,NA,NA,1
"21",21,NA,NA,NA,NA,NA,1
"22",22,6.340691,8.645049,0.875503,32.649109,29.231137,1
"23",23,NA,NA,NA,NA,NA,1
"24",24,NA,NA,NA,NA,NA,1
"25",25,NA,NA,NA,NA,NA,1
"26",26,NA,NA,NA,NA,NA,1
"27",27,NA,NA,NA,NA,NA,1
"28",28,NA,NA,NA,NA,NA,1
"29",29,NA,NA,NA,NA,NA,1
"30",30,NA,NA,NA,NA,NA,1
"31",31,NA,NA,NA,NA,NA,1
"32",32,NA,NA,NA,NA,NA,1
"33",33,NA,NA,NA,NA,NA,1
"34",34,NA,NA,NA,NA,NA,1
"35",35,NA,NA,NA,NA,NA,1
"36",36,NA,NA,NA,NA,NA,1
"37",37,NA,NA,NA,NA,NA,1
"38",38,NA,NA,NA,NA,NA,1
"39",39,NA,NA,NA,NA,NA,1
"40",40,NA,NA,NA,NA,NA,1
"41",41,NA,NA,NA,NA,NA,1
"42",42,NA,NA,NA,NA,NA,1
"43",43,7.643984,8.581234,0.883652,31.374762,29.213022,1
"44",44,NA,NA,NA,NA,NA,1
"45",45,NA,NA,NA,NA,NA,1
"46",46,NA,NA,NA,NA,NA,1
"47",47,NA,NA,NA,NA,NA,1
"48",48,NA,NA,NA,NA,NA,1
"49",49,NA,NA,NA,NA,NA,1
"50",50,NA,NA,NA,NA,NA,1
"51",51,NA,NA,NA,NA,NA,1
"52",52,NA,NA,NA,NA,NA,1
"53",53,NA,NA,NA,NA,NA,1
"54",54,NA,NA,NA,NA,NA,1
"55",55,NA,NA,NA,NA,NA,1
"56",56,NA,NA,NA,NA,NA,1
"57",57,7.629025,11.265289,0.982404,32.16518,31.45973,1
"58",58,NA,NA,NA,NA,NA,1
"59",59,NA,NA,NA,NA,NA,1
"60",60,NA,NA,NA,NA,NA,1
"61",61,NA,NA,NA,NA,NA,1
"62",62,NA,NA,NA,NA,NA,1
"63",63,NA,NA,NA,NA,NA,1
"64",64,NA,NA,NA,NA,NA,1
"65",65,NA,NA,NA,NA,NA,1
"66",66,NA,NA,NA,NA,NA,1
"67",67,NA,NA,NA,NA,NA,1
"68",68,NA,NA,NA,NA,NA,1
"69",69,NA,NA,NA,NA,NA,1
"70",70,NA,NA,NA,NA,NA,1
"71",71,NA,NA,NA,NA,NA,1
"72",72,6.340691,8.645049,0.875503,32.649109,29.231137,1
"73",73,NA,NA,NA,NA,NA,1
"74",74,NA,NA,NA,NA,NA,1
"75",75,NA,NA,NA,NA,NA,1
"76",76,NA,NA,NA,NA,NA,1
"77",77,NA,NA,NA,NA,NA,1
"78",78,NA,NA,NA,NA,NA,1
"79",79,NA,NA,NA,NA,NA,1
"80",80,6.340691,8.645049,0.875503,32.649109,29.231137,1
"81",81,NA,NA,NA,NA,NA,1
"82",82,NA,NA,NA,NA,NA,1
"83",83,6.340691,8.645049,0.875503,32.649109,29.231137,1
"84",84,NA,NA,NA,NA,NA,1
"85",85,NA,NA,NA,NA,NA,1
"86",86,NA,NA,NA,NA,NA,1
"87",87,NA,NA,NA,NA,NA,1
"88",88,NA,NA,NA,NA,NA,1
"89",89,NA,NA,NA,NA,NA,1
