"","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",6.473689,8.707038,0.442826,31.586199,30.436738,1
"2",6.473689,8.707038,0.442826,31.586199,30.436738,1
"3",6.473689,8.707038,0.442826,31.586199,30.436738,1
"4",6.473689,8.707038,0.442826,31.586199,30.436738,1
"5",6.473689,8.707038,0.442826,31.586199,30.436738,1
"6",6.473689,8.707038,0.442826,31.586199,30.436738,1
"7",6.473689,8.707038,0.442826,31.586199,30.436738,1
"8",8.344789,8.859585,0.432064,31.146389,30.498167,1
"9",6.642415,8.452697,1.310199,32.668194,30.076541,1
"10",6.473689,8.707038,0.442826,31.586199,30.436738,1
"11",6.473689,8.707038,0.442826,31.586199,30.436738,1
"12",6.473689,8.707038,0.442826,31.586199,30.436738,1
"13",6.473689,8.707038,0.442826,31.586199,30.436738,1
"14",6.473689,8.707038,0.442826,31.586199,30.436738,1
"15",6.473689,8.707038,0.442826,31.586199,30.436738,1
"16",6.473689,8.707038,0.442826,31.586199,30.436738,1
"17",6.473689,8.707038,0.442826,31.586199,30.436738,1
"18",6.473689,8.707038,0.442826,31.586199,30.436738,1
"19",6.473689,8.707038,0.442826,31.586199,30.436738,1
"20",NA,NA,NA,NA,NA,1
"21",NA,NA,NA,NA,NA,1
"22",NA,NA,NA,NA,NA,1
"23",NA,NA,NA,NA,NA,1
"24",6.473689,8.707038,0.442826,31.586199,30.436738,1
"25",6.642415,8.452697,1.310199,32.668194,30.076541,1
"26",6.473689,8.707038,0.442826,31.586199,30.436738,1
"27",6.473689,8.707038,0.442826,31.586199,30.436738,1
"28",6.473689,8.707038,0.442826,31.586199,30.436738,1
"29",6.473689,8.707038,0.442826,31.586199,30.436738,1
"30",6.473689,8.707038,0.442826,31.586199,30.436738,1
"31",5.292134,8.957577,0.418972,32.208462,30.512912,1
"32",6.473689,8.707038,0.442826,31.586199,30.436738,1
"33",6.642415,8.452697,1.310199,32.668194,30.076541,1
"34",NA,NA,NA,NA,NA,1
"35",NA,NA,NA,NA,NA,1
"36",6.473689,8.707038,0.442826,31.586199,30.436738,1
"37",8.344789,8.859585,0.432064,31.146389,30.498167,1
"38",6.473689,8.707038,0.442826,31.586199,30.436738,1
"39",6.473689,8.707038,0.442826,31.586199,30.436738,1
"40",NA,NA,NA,NA,NA,1
"41",6.473689,8.707038,0.442826,31.586199,30.436738,1
"42",6.642415,8.452697,1.310199,32.668194,30.076541,1
"43",6.473689,8.707038,0.442826,31.586199,30.436738,1
"44",NA,NA,NA,NA,NA,1
"45",6.473689,8.707038,0.442826,31.586199,30.436738,1
"46",6.642415,8.452697,1.310199,32.668194,30.076541,1
"47",6.473689,8.707038,0.442826,31.586199,30.436738,1
"48",6.473689,8.707038,0.442826,31.586199,30.436738,1
"49",6.473689,8.707038,0.442826,31.586199,30.436738,1
"50",6.642415,8.452697,1.310199,32.668194,30.076541,1
"51",8.344789,8.859585,0.432064,31.146389,30.498167,1
"52",8.344789,8.859585,0.432064,31.146389,30.498167,1
"53",6.473689,8.707038,0.442826,31.586199,30.436738,1
"54",6.473689,8.707038,0.442826,31.586199,30.436738,1
"55",6.473689,8.707038,0.442826,31.586199,30.436738,1
"56",6.473689,8.707038,0.442826,31.586199,30.436738,1
"57",6.473689,8.707038,0.442826,31.586199,30.436738,1
"58",6.473689,8.707038,0.442826,31.586199,30.436738,1
"59",6.473689,8.707038,0.442826,31.586199,30.436738,1
"60",6.330499,8.456971,1.280386,32.359314,30.205078,1
"61",6.473689,8.707038,0.442826,31.586199,30.436738,1
"62",8.344789,8.859585,0.432064,31.146389,30.498167,1
"63",6.473689,8.707038,0.442826,31.586199,30.436738,1
"64",6.473689,8.707038,0.442826,31.586199,30.436738,1
"65",6.473689,8.707038,0.442826,31.586199,30.436738,1
"66",6.473689,8.707038,0.442826,31.586199,30.436738,1
"67",6.473689,8.707038,0.442826,31.586199,30.436738,1
"68",8.344789,8.859585,0.432064,31.146389,30.498167,1
"69",6.473689,8.707038,0.442826,31.586199,30.436738,1
"70",6.473689,8.707038,0.442826,31.586199,30.436738,1
"71",NA,NA,NA,NA,NA,1
"72",6.473689,8.707038,0.442826,31.586199,30.436738,1
"73",6.473689,8.707038,0.442826,31.586199,30.436738,1
"74",6.473689,8.707038,0.442826,31.586199,30.436738,1
"75",9.84325,8.479806,1.318913,33.650246,30.087677,1
"76",6.473689,8.707038,0.442826,31.586199,30.436738,1
"77",6.473689,8.707038,0.442826,31.586199,30.436738,1
"78",NA,NA,NA,NA,NA,1
"79",6.646921,8.457728,1.334337,32.346096,30.072259,1
"80",NA,NA,NA,NA,NA,1
"81",6.642415,8.452697,1.310199,32.668194,30.076541,1
"82",6.473689,8.707038,0.442826,31.586199,30.436738,1
"83",6.473689,8.707038,0.442826,31.586199,30.436738,1
