"","X","BO21_tempmean_bdmax","BO21_tempmean_ss","BO22_chlomean_ss","BO22_salinitymean_bdmax","BO22_salinitymean_ss","pa"
"1",1,6.473689,8.707038,0.442826,31.586199,30.436738,1
"2",2,6.473689,8.707038,0.442826,31.586199,30.436738,1
"3",3,6.473689,8.707038,0.442826,31.586199,30.436738,1
"4",4,6.473689,8.707038,0.442826,31.586199,30.436738,1
"5",5,6.473689,8.707038,0.442826,31.586199,30.436738,1
"6",6,6.473689,8.707038,0.442826,31.586199,30.436738,1
"7",7,6.473689,8.707038,0.442826,31.586199,30.436738,1
"8",8,8.344789,8.859585,0.432064,31.146389,30.498167,1
"9",9,6.642415,8.452697,1.310199,32.668194,30.076541,1
"10",10,6.473689,8.707038,0.442826,31.586199,30.436738,1
"11",11,6.473689,8.707038,0.442826,31.586199,30.436738,1
"12",12,6.473689,8.707038,0.442826,31.586199,30.436738,1
"13",13,6.473689,8.707038,0.442826,31.586199,30.436738,1
"14",14,6.473689,8.707038,0.442826,31.586199,30.436738,1
"15",15,6.473689,8.707038,0.442826,31.586199,30.436738,1
"16",16,6.473689,8.707038,0.442826,31.586199,30.436738,1
"17",17,6.473689,8.707038,0.442826,31.586199,30.436738,1
"18",18,6.473689,8.707038,0.442826,31.586199,30.436738,1
"19",19,6.473689,8.707038,0.442826,31.586199,30.436738,1
"20",20,NA,NA,NA,NA,NA,1
"21",21,NA,NA,NA,NA,NA,1
"22",22,NA,NA,NA,NA,NA,1
"23",23,NA,NA,NA,NA,NA,1
"24",24,6.473689,8.707038,0.442826,31.586199,30.436738,1
"25",25,6.642415,8.452697,1.310199,32.668194,30.076541,1
"26",26,6.473689,8.707038,0.442826,31.586199,30.436738,1
"27",27,6.473689,8.707038,0.442826,31.586199,30.436738,1
"28",28,6.473689,8.707038,0.442826,31.586199,30.436738,1
"29",29,6.473689,8.707038,0.442826,31.586199,30.436738,1
"30",30,6.473689,8.707038,0.442826,31.586199,30.436738,1
"31",31,5.292134,8.957577,0.418972,32.208462,30.512912,1
"32",32,6.473689,8.707038,0.442826,31.586199,30.436738,1
"33",33,6.642415,8.452697,1.310199,32.668194,30.076541,1
"34",34,NA,NA,NA,NA,NA,1
"35",35,NA,NA,NA,NA,NA,1
"36",36,6.473689,8.707038,0.442826,31.586199,30.436738,1
"37",37,8.344789,8.859585,0.432064,31.146389,30.498167,1
"38",38,6.473689,8.707038,0.442826,31.586199,30.436738,1
"39",39,6.473689,8.707038,0.442826,31.586199,30.436738,1
"40",40,NA,NA,NA,NA,NA,1
"41",41,6.473689,8.707038,0.442826,31.586199,30.436738,1
"42",42,6.642415,8.452697,1.310199,32.668194,30.076541,1
"43",43,6.473689,8.707038,0.442826,31.586199,30.436738,1
"44",44,NA,NA,NA,NA,NA,1
"45",45,6.473689,8.707038,0.442826,31.586199,30.436738,1
"46",46,6.642415,8.452697,1.310199,32.668194,30.076541,1
"47",47,6.473689,8.707038,0.442826,31.586199,30.436738,1
"48",48,6.473689,8.707038,0.442826,31.586199,30.436738,1
"49",49,6.473689,8.707038,0.442826,31.586199,30.436738,1
"50",50,6.642415,8.452697,1.310199,32.668194,30.076541,1
"51",51,8.344789,8.859585,0.432064,31.146389,30.498167,1
"52",52,8.344789,8.859585,0.432064,31.146389,30.498167,1
"53",53,6.473689,8.707038,0.442826,31.586199,30.436738,1
"54",54,6.473689,8.707038,0.442826,31.586199,30.436738,1
"55",55,6.473689,8.707038,0.442826,31.586199,30.436738,1
"56",56,6.473689,8.707038,0.442826,31.586199,30.436738,1
"57",57,6.473689,8.707038,0.442826,31.586199,30.436738,1
"58",58,6.473689,8.707038,0.442826,31.586199,30.436738,1
"59",59,6.473689,8.707038,0.442826,31.586199,30.436738,1
"60",60,6.330499,8.456971,1.280386,32.359314,30.205078,1
"61",61,6.473689,8.707038,0.442826,31.586199,30.436738,1
"62",62,8.344789,8.859585,0.432064,31.146389,30.498167,1
"63",63,6.473689,8.707038,0.442826,31.586199,30.436738,1
"64",64,6.473689,8.707038,0.442826,31.586199,30.436738,1
"65",65,6.473689,8.707038,0.442826,31.586199,30.436738,1
"66",66,6.473689,8.707038,0.442826,31.586199,30.436738,1
"67",67,6.473689,8.707038,0.442826,31.586199,30.436738,1
"68",68,8.344789,8.859585,0.432064,31.146389,30.498167,1
"69",69,6.473689,8.707038,0.442826,31.586199,30.436738,1
"70",70,6.473689,8.707038,0.442826,31.586199,30.436738,1
"71",71,NA,NA,NA,NA,NA,1
"72",72,6.473689,8.707038,0.442826,31.586199,30.436738,1
"73",73,6.473689,8.707038,0.442826,31.586199,30.436738,1
"74",74,6.473689,8.707038,0.442826,31.586199,30.436738,1
"75",75,9.84325,8.479806,1.318913,33.650246,30.087677,1
"76",76,6.473689,8.707038,0.442826,31.586199,30.436738,1
"77",77,6.473689,8.707038,0.442826,31.586199,30.436738,1
"78",78,NA,NA,NA,NA,NA,1
"79",79,6.646921,8.457728,1.334337,32.346096,30.072259,1
"80",80,NA,NA,NA,NA,NA,1
"81",81,6.642415,8.452697,1.310199,32.668194,30.076541,1
"82",82,6.473689,8.707038,0.442826,31.586199,30.436738,1
"83",83,6.473689,8.707038,0.442826,31.586199,30.436738,1
"84",84,NA,NA,NA,NA,NA,1
"85",85,6.642415,8.452697,1.310199,32.668194,30.076541,1
"86",86,6.473689,8.707038,0.442826,31.586199,30.436738,1
"87",87,NA,NA,NA,NA,NA,1
"88",88,6.646921,8.457728,1.334337,32.346096,30.072259,1
"89",89,6.473689,8.707038,0.442826,31.586199,30.436738,1
"90",90,9.84325,8.479806,1.318913,33.650246,30.087677,1
"91",91,NA,NA,NA,NA,NA,1
"92",92,NA,NA,NA,NA,NA,1
"93",93,6.473689,8.707038,0.442826,31.586199,30.436738,1
"94",94,6.473689,8.707038,0.442826,31.586199,30.436738,1
"95",95,6.473689,8.707038,0.442826,31.586199,30.436738,1
"96",96,8.344789,8.859585,0.432064,31.146389,30.498167,1
"97",97,NA,NA,NA,NA,NA,1
"98",98,6.473689,8.707038,0.442826,31.586199,30.436738,1
"99",99,6.473689,8.707038,0.442826,31.586199,30.436738,1
"100",100,6.473689,8.707038,0.442826,31.586199,30.436738,1
"101",101,NA,NA,NA,NA,NA,1
"102",102,6.473689,8.707038,0.442826,31.586199,30.436738,1
"103",103,NA,NA,NA,NA,NA,1
"104",104,8.344789,8.859585,0.432064,31.146389,30.498167,1
"105",105,6.473689,8.707038,0.442826,31.586199,30.436738,1
"106",106,6.473689,8.707038,0.442826,31.586199,30.436738,1
"107",107,NA,NA,NA,NA,NA,1
"108",108,6.642415,8.452697,1.310199,32.668194,30.076541,1
"109",109,8.344789,8.859585,0.432064,31.146389,30.498167,1
"110",110,6.473689,8.707038,0.442826,31.586199,30.436738,1
"111",111,6.473689,8.707038,0.442826,31.586199,30.436738,1
"112",112,6.473689,8.707038,0.442826,31.586199,30.436738,1
"113",113,6.473689,8.707038,0.442826,31.586199,30.436738,1
"114",114,6.473689,8.707038,0.442826,31.586199,30.436738,1
"115",115,6.473689,8.707038,0.442826,31.586199,30.436738,1
"116",116,6.473689,8.707038,0.442826,31.586199,30.436738,1
"117",117,6.473689,8.707038,0.442826,31.586199,30.436738,1
"118",118,NA,NA,NA,NA,NA,1
"119",119,NA,NA,NA,NA,NA,1
"120",120,6.473689,8.707038,0.442826,31.586199,30.436738,1
